frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,sound-level-decibels
16000,1.5,0.3048,71.3,0.00336729,106.582
12500,0.0,0.3048,39.6,0.00310138,109.619
10000,0.0,0.3048,31.7,0.00331266,108.265
3150,0.0,0.3048,31.7,0.00331266,119.135
4000,3.0,0.3048,39.6,0.00495741,116.792
630,0.0,0.3048,39.6,0.00310138,128.629
8000,1.5,0.3048,39.6,0.00392107,112.251
630,3.0,0.3048,71.3,0.00425727,129.354
4000,3.0,0.3048,31.7,0.00529514,115.608
6300,4.0,0.3048,71.3,0.00497773,116.165
8000,0.0,0.3048,55.5,0.00283081,116.476
5000,3.0,0.3048,71.3,0.00425727,118.134
400,3.0,0.3048,39.6,0.00495741,125.472
6300,0.0,0.3048,71.3,0.00266337,119.541
315,1.5,0.3048,39.6,0.00392107,121.851
2000,1.5,0.3048,39.6,0.00392107,122.101
2500,3.0,0.3048,55.5,0.00452492,122.439
1000,0.0,0.3048,31.7,0.00331266,127.365
800,3.0,0.3048,31.7,0.00529514,128.708
800,3.0,0.3048,55.5,0.00452492,129.949
400,3.0,0.3048,31.7,0.00529514,125.398
12500,4.0,0.3048,71.3,0.00497773,107.405
6300,0.0,0.3048,55.5,0.00283081,117.976
1000,3.0,0.3048,39.6,0.00495741,128.312
250,0.0,0.3048,39.6,0.00310138,119.319
1600,0.0,0.3048,31.7,0.00331266,122.365
3150,1.5,0.3048,71.3,0.00336729,123.392
400,1.5,0.3048,39.6,0.00392107,124.001
500,1.5,0.3048,39.6,0.00392107,126.661
2500,4.0,0.3048,39.6,0.00579636,120.233
10000,0.0,0.3048,71.3,0.00266337,115.391
5000,0.0,0.3048,31.7,0.00331266,115.645
400,4.0,0.3048,39.6,0.00579636,128.633
4000,0.0,0.3048,39.6,0.00310138,119.229
800,3.0,0.3048,39.6,0.00495741,129.552
500,3.0,0.3048,31.7,0.00529514,127.548
1600,4.0,0.3048,39.6,0.00579636,123.213
3150,4.0,0.3048,39.6,0.00579636,118.743
315,3.0,0.3048,39.6,0.00495741,123.312
6300,0.0,0.3048,39.6,0.00310138,116.229
315,0.0,0.3048,31.7,0.00331266,122.765
630,3.0,0.3048,31.7,0.00529514,128.698
8000,0.0,0.3048,31.7,0.00331266,110.515
400,3.0,0.3048,55.5,0.00452492,126.159
10000,0.0,0.3048,39.6,0.00310138,112.139
2500,0.0,0.3048,71.3,0.00266337,125.571
3150,3.0,0.3048,39.6,0.00495741,118.922
800,1.5,0.3048,71.3,0.00336729,127.122
1250,0.0,0.3048,39.6,0.00310138,125.499
1250,1.5,0.3048,71.3,0.00336729,125.872
12500,1.5,0.3048,71.3,0.00336729,109.222
5000,1.5,0.3048,39.6,0.00392107,116.241
2500,1.5,0.3048,71.3,0.00336729,124.512
16000,0.0,0.3048,71.3,0.00266337,108.721
1000,4.0,0.3048,71.3,0.00497773,131.015
1000,0.0,0.3048,55.5,0.00283081,126.966
5000,0.0,0.3048,55.5,0.00283081,119.606
800,3.0,0.3048,71.3,0.00425727,129.494
1250,3.0,0.3048,39.6,0.00495741,125.802
10000,3.0,0.3048,55.5,0.00452492,112.169
1600,4.0,0.3048,71.3,0.00497773,126.645
800,0.0,0.3048,31.7,0.00331266,129.235
1600,1.5,0.3048,39.6,0.00392107,122.211
5000,3.0,0.3048,31.7,0.00529514,113.858
800,4.0,0.3048,39.6,0.00579636,130.723
1250,3.0,0.3048,31.7,0.00529514,124.838
3150,0.0,0.3048,39.6,0.00310138,120.319
200,0.0,0.3048,31.7,0.00331266,117.195
5000,0.0,0.3048,71.3,0.00266337,121.301
4000,0.0,0.3048,31.7,0.00331266,118.145
2500,0.0,0.3048,39.6,0.00310138,121.399
2000,0.0,0.3048,55.5,0.00283081,126.616
4000,3.0,0.3048,55.5,0.00452492,118.689
250,4.0,0.3048,39.6,0.00579636,123.543
1250,4.0,0.3048,39.6,0.00579636,126.343
800,0.0,0.3048,39.6,0.00310138,129.099
6300,0.0,0.3048,31.7,0.00331266,113.775
5000,3.0,0.3048,55.5,0.00452492,117.309
500,4.0,0.3048,39.6,0.00579636,130.173
500,3.0,0.3048,71.3,0.00425727,128.454
4000,0.0,0.3048,71.3,0.00266337,123.061
2500,1.5,0.3048,39.6,0.00392107,120.981
12500,1.5,0.3048,39.6,0.00392107,106.111
2500,0.0,0.3048,55.5,0.00283081,124.106
8000,3.0,0.3048,71.3,0.00425727,114.634
1000,0.0,0.3048,39.6,0.00310138,127.899
6300,1.5,0.3048,39.6,0.00392107,114.751
2000,3.0,0.3048,31.7,0.00529514,120.088
4000,4.0,0.3048,39.6,0.00579636,115.863
1000,1.5,0.3048,39.6,0.00392107,127.581
400,4.0,0.3048,71.3,0.00497773,129.575
4000,0.0,0.3048,55.5,0.00283081,121.106
1250,1.5,0.3048,39.6,0.00392107,125.211
1600,0.0,0.3048,71.3,0.00266337,127.591
8000,3.0,0.3048,39.6,0.00495741,110.652
2000,3.0,0.3048,71.3,0.00425727,125.524
1000,3.0,0.3048,71.3,0.00425727,129.004
2500,4.0,0.3048,71.3,0.00497773,123.775
6300,3.0,0.3048,39.6,0.00495741,114.042
3150,0.0,0.3048,55.5,0.00283081,123.236
1600,0.0,0.3048,39.6,0.00310138,124.049
1000,4.0,0.3048,39.6,0.00579636,128.723
8000,1.5,0.3048,71.3,0.00336729,115.372
10000,1.5,0.3048,71.3,0.00336729,113.492
1600,3.0,0.3048,31.7,0.00529514,122.088
6300,3.0,0.3048,31.7,0.00529514,109.718
4000,3.0,0.3048,71.3,0.00425727,120.264
630,3.0,0.3048,39.6,0.00495741,129.292
3150,3.0,0.3048,55.5,0.00452492,120.189
12500,0.0,0.3048,71.3,0.00266337,112.241
12500,0.0,0.3048,55.5,0.00283081,111.076
2000,3.0,0.3048,55.5,0.00452492,123.069
2500,0.0,0.3048,31.7,0.00331266,120.755
315,3.0,0.3048,31.7,0.00529514,123.118
1000,1.5,0.3048,71.3,0.00336729,125.992
1600,3.0,0.3048,55.5,0.00452492,124.439
250,4.0,0.3048,71.3,0.00497773,126.395
10000,4.0,0.3048,71.3,0.00497773,110.905
5000,4.0,0.3048,71.3,0.00497773,117.785
8000,4.0,0.3048,71.3,0.00497773,113.665
3150,1.5,0.3048,39.6,0.00392107,119.111
800,0.0,0.3048,71.3,0.00266337,126.201
1600,0.0,0.3048,55.5,0.00283081,126.986
1250,0.0,0.3048,31.7,0.00331266,124.355
500,0.0,0.3048,55.5,0.00283081,126.416
2000,3.0,0.3048,39.6,0.00495741,120.532
800,4.0,0.3048,71.3,0.00497773,131.755
500,3.0,0.3048,55.5,0.00452492,128.179
1000,3.0,0.3048,31.7,0.00529514,126.838
1250,4.0,0.3048,71.3,0.00497773,129.395
3150,3.0,0.3048,71.3,0.00425727,121.514
1250,0.0,0.3048,71.3,0.00266337,125.951
10000,0.0,0.3048,55.5,0.00283081,113.076
2000,4.0,0.3048,71.3,0.00497773,124.395
8000,0.0,0.3048,71.3,0.00266337,117.151
10000,1.5,0.3048,39.6,0.00392107,108.991
200,0.0,0.3048,39.6,0.00310138,118.129
800,1.5,0.3048,39.6,0.00392107,128.831
2000,0.0,0.3048,31.7,0.00331266,122.375
10000,3.0,0.3048,71.3,0.00425727,110.224
1000,3.0,0.3048,55.5,0.00452492,129.329
630,4.0,0.3048,71.3,0.00497773,131.615
4000,4.0,0.3048,71.3,0.00497773,119.535
630,0.0,0.3048,55.5,0.00283081,127.696
2000,0.0,0.3048,39.6,0.00310138,123.689
5000,0.0,0.3048,39.6,0.00310138,117.789
1250,3.0,0.3048,55.5,0.00452492,127.329
400,0.0,0.3048,39.6,0.00310138,124.809
315,4.0,0.3048,71.3,0.00497773,128.175
3150,4.0,0.3048,71.3,0.00497773,121.775
2000,4.0,0.3048,39.6,0.00579636,120.963
250,0.0,0.3048,31.7,0.00331266,118.595
1250,0.0,0.3048,55.5,0.00283081,126.086
1000,0.0,0.3048,71.3,0.00266337,125.201
800,0.0,0.3048,55.5,0.00283081,128.086
2500,3.0,0.3048,71.3,0.00425727,124.024
500,3.0,0.3048,39.6,0.00495741,127.632
2500,3.0,0.3048,31.7,0.00529514,119.598
4000,1.5,0.3048,71.3,0.00336729,121.762
500,0.0,0.3048,39.6,0.00310138,126.959
4000,1.5,0.3048,39.6,0.00392107,117.741
6300,1.5,0.3048,71.3,0.00336729,118.122
630,4.0,0.3048,39.6,0.00579636,131.073
1600,3.0,0.3048,39.6,0.00495741,122.782
5000,3.0,0.3048,39.6,0.00495741,115.792
3150,0.0,0.3048,71.3,0.00266337,125.201
8000,0.0,0.3048,39.6,0.00310138,114.779
8000,3.0,0.3048,55.5,0.00452492,113.799
2500,3.0,0.3048,39.6,0.00495741,120.162
315,4.0,0.3048,39.6,0.00579636,126.843
400,0.0,0.3048,31.7,0.00331266,125.045
630,0.0,0.3048,31.7,0.00331266,129.095
500,0.0,0.3048,31.7,0.00331266,127.315
3150,3.0,0.3048,31.7,0.00529514,118.108
630,1.5,0.3048,39.6,0.00392107,128.311
1600,1.5,0.3048,71.3,0.00336729,126.632
5000,1.5,0.3048,71.3,0.00336729,119.632
6300,3.0,0.3048,71.3,0.00425727,116.134
6300,3.0,0.3048,55.5,0.00452492,115.679
400,3.0,0.3048,71.3,0.00425727,127.564
630,3.0,0.3048,55.5,0.00452492,129.569
315,0.0,0.3048,39.6,0.00310138,122.779
2000,1.5,0.3048,71.3,0.00336729,126.642
1250,3.0,0.3048,71.3,0.00425727,127.634
500,4.0,0.3048,71.3,0.00497773,130.715
2000,0.0,0.3048,71.3,0.00266337,127.461
1600,3.0,0.3048,71.3,0.00425727,126.514
400,2.0,0.2286,39.6,0.00346574,122.147
1600,2.0,0.2286,31.7,0.00372371,125.797
500,4.0,0.2286,71.3,0.00400603,126.758
800,4.0,0.2286,71.3,0.00400603,130.688
4000,4.0,0.2286,71.3,0.00400603,121.728
6300,5.3,0.2286,71.3,0.0051942,116.92
4000,0.0,0.2286,55.5,0.00229336,123.41
630,4.0,0.2286,39.6,0.00473801,129.579
5000,4.0,0.2286,31.7,0.00509068,115.969
800,4.0,0.2286,55.5,0.0042862,131.864
400,2.0,0.2286,31.7,0.00372371,123.417
5000,2.0,0.2286,71.3,0.00293031,122.816
800,4.0,0.2286,31.7,0.00509068,130.869
2500,0.0,0.2286,31.7,0.0027238,123.445
3150,2.0,0.2286,39.6,0.00346574,121.627
10000,2.0,0.2286,71.3,0.00293031,113.086
6300,0.0,0.2286,71.3,0.00214345,122.044
315,2.0,0.2286,31.7,0.00372371,120.147
1250,4.0,0.2286,31.7,0.00509068,128.119
2000,0.0,0.2286,31.7,0.0027238,123.455
1250,0.0,0.2286,71.3,0.00214345,128.144
1600,2.0,0.2286,55.5,0.00313525,126.752
800,0.0,0.2286,55.5,0.00229336,127.53
1600,4.0,0.2286,55.5,0.0042862,128.264
1600,4.0,0.2286,31.7,0.00509068,125.229
5000,2.0,0.2286,55.5,0.00313525,120.472
5000,4.0,0.3048,39.6,0.00579636,113.733
800,0.0,0.2286,31.7,0.0027238,130.725
1000,2.0,0.2286,31.7,0.00372371,130.307
6300,0.0,0.2286,39.6,0.00253511,117.465
5000,4.0,0.2286,55.5,0.0042862,120.034
1250,0.0,0.2286,39.6,0.00253511,129.395
315,4.0,0.2286,39.6,0.00473801,122.229
400,0.0,0.2286,31.7,0.0027238,123.635
630,4.0,0.2286,71.3,0.00400603,129.038
500,4.0,0.2286,39.6,0.00473801,127.039
1600,5.3,0.2286,71.3,0.0051942,130.46
3150,2.0,0.2286,71.3,0.00293031,126.116
1600,2.0,0.2286,39.6,0.00346574,125.837
1600,0.0,0.2286,71.3,0.00214345,129.134
5000,2.0,0.2286,39.6,0.00346574,118.827
800,2.0,0.2286,55.5,0.00313525,128.492
3150,4.0,0.2286,31.7,0.00509068,120.229
400,2.0,0.2286,55.5,0.00313525,122.292
5000,2.0,0.2286,31.7,0.00372371,118.267
630,0.0,0.2286,39.6,0.00253511,128.705
2500,0.0,0.2286,55.5,0.00229336,126.54
500,2.0,0.2286,39.6,0.00346574,125.157
400,4.0,0.2286,31.7,0.00509068,126.149
1250,0.0,0.2286,31.7,0.0027238,128.805
1600,0.0,0.2286,31.7,0.0027238,125.625
630,2.0,0.2286,39.6,0.00346574,127.417
2000,0.0,0.2286,71.3,0.00214345,128.244
6300,2.0,0.2286,31.7,0.00372371,115.137
2000,2.0,0.2286,31.7,0.00372371,123.037
2500,2.0,0.2286,31.7,0.00372371,121.407
315,0.0,0.2286,31.7,0.0027238,120.595
1000,0.0,0.2286,55.5,0.00229336,128.29
3150,4.0,0.2286,55.5,0.0042862,122.394
630,0.0,0.2286,55.5,0.00229336,126.16
400,4.0,0.2286,55.5,0.0042862,123.274
4000,0.0,0.2286,71.3,0.00214345,125.824
4000,2.0,0.2286,55.5,0.00313525,122.232
400,0.0,0.2286,39.6,0.00253511,123.565
1250,4.0,0.2286,39.6,0.00473801,128.339
315,4.0,0.2286,31.7,0.00509068,123.609
2500,2.0,0.2286,55.5,0.00313525,123.862
800,4.0,0.2286,39.6,0.00473801,130.469
1250,5.3,0.2286,71.3,0.0051942,133.38
2500,4.0,0.2286,39.6,0.00473801,119.649
1000,4.0,0.2286,31.7,0.00509068,129.869
2000,5.3,0.2286,71.3,0.0051942,125.89
5000,0.0,0.2286,39.6,0.00253511,122.175
500,5.3,0.2286,71.3,0.0051942,129.88
1250,2.0,0.2286,55.5,0.00313525,128.762
800,2.0,0.2286,31.7,0.00372371,130.307
2500,4.0,0.2286,55.5,0.0042862,122.384
400,0.0,0.2286,55.5,0.00229336,121.66
16000,4.0,0.2286,71.3,0.00400603,112.768
500,4.0,0.2286,55.5,0.0042862,127.314
1250,2.0,0.2286,31.7,0.00372371,128.677
630,2.0,0.2286,71.3,0.00293031,127.356
2000,4.0,0.2286,55.5,0.0042862,124.254
8000,0.0,0.2286,71.3,0.00214345,118.024
1250,0.0,0.2286,55.5,0.00229336,127.91
400,5.3,0.2286,71.3,0.0051942,127.7
500,0.0,0.2286,55.5,0.00229336,123.78
1000,2.0,0.2286,39.6,0.00346574,129.147
500,0.0,0.2286,31.7,0.0027238,126.675
4000,2.0,0.2286,31.7,0.00372371,120.527
4000,4.0,0.2286,39.6,0.00473801,119.159
8000,4.0,0.2286,71.3,0.00400603,112.848
6300,0.0,0.2286,55.5,0.00229336,118.41
2000,2.0,0.2286,71.3,0.00293031,126.896
2500,2.0,0.2286,39.6,0.00346574,121.397
3150,0.0,0.2286,39.6,0.00253511,124.625
3150,0.0,0.2286,31.7,0.0027238,123.445
2000,2.0,0.2286,39.6,0.00346574,122.797
400,4.0,0.2286,39.6,0.00473801,123.879
2500,5.3,0.2286,71.3,0.0051942,123.74
8000,5.3,0.2286,71.3,0.0051942,114.9
315,0.0,0.2286,39.6,0.00253511,121.055
630,2.0,0.2286,31.7,0.00372371,129.057
3150,4.0,0.2286,71.3,0.00400603,124.108
6300,4.0,0.2286,31.7,0.00509068,112.699
630,4.0,0.2286,31.7,0.00509068,130.349
1000,0.0,0.2286,39.6,0.00253511,130.435
6300,2.0,0.2286,71.3,0.00293031,120.786
2000,4.0,0.2286,39.6,0.00473801,121.659
800,2.0,0.2286,71.3,0.00293031,128.216
6300,4.0,0.2286,71.3,0.00400603,118.618
20000,0.0,0.2286,71.3,0.00214345,114.474
500,0.0,0.2286,39.6,0.00253511,126.195
1000,4.0,0.2286,39.6,0.00473801,129.969
6300,0.0,0.2286,31.7,0.0027238,116.815
1000,5.3,0.2286,71.3,0.0051942,134.0
5000,4.0,0.2286,39.6,0.00473801,117.649
5000,0.0,0.2286,31.7,0.0027238,120.505
3150,0.0,0.2286,55.5,0.00229336,125.16
500,2.0,0.2286,71.3,0.00293031,126.486
6300,2.0,0.2286,55.5,0.00313525,118.712
1250,4.0,0.2286,55.5,0.0042862,131.264
5000,5.3,0.2286,71.3,0.0051942,118.05
1600,0.0,0.2286,39.6,0.00253511,127.095
4000,2.0,0.2286,39.6,0.00346574,120.227
2000,0.0,0.2286,39.6,0.00253511,125.305
3150,2.0,0.2286,55.5,0.00313525,123.742
2500,0.0,0.2286,39.6,0.00253511,125.025
630,4.0,0.2286,55.5,0.0042862,129.964
8000,2.0,0.2286,71.3,0.00293031,115.996
5000,4.0,0.2286,71.3,0.00400603,121.118
8000,4.0,0.2286,39.6,0.00473801,113.129
1000,2.0,0.2286,55.5,0.00313525,129.002
3150,4.0,0.2286,39.6,0.00473801,120.419
2500,4.0,0.2286,71.3,0.00400603,124.338
500,4.0,0.2286,31.7,0.00509068,128.939
630,5.3,0.2286,71.3,0.0051942,131.8
800,5.3,0.2286,71.3,0.0051942,133.48
500,2.0,0.2286,31.7,0.00372371,126.677
1600,4.0,0.2286,39.6,0.00473801,125.319
3150,5.3,0.2286,71.3,0.0051942,123.12
400,2.0,0.2286,71.3,0.00293031,125.116
6300,4.0,0.2286,55.5,0.0042862,117.154
12500,0.0,0.2286,71.3,0.00214345,117.624
4000,5.3,0.2286,71.3,0.0051942,120.33
20000,4.0,0.2286,71.3,0.00400603,109.638
1000,0.0,0.2286,31.7,0.0027238,130.595
2500,2.0,0.2286,71.3,0.00293031,127.006
10000,4.0,0.2286,71.3,0.00400603,113.108
500,2.0,0.2286,55.5,0.00313525,124.692
3150,0.0,0.2286,71.3,0.00214345,127.834
1000,2.0,0.2286,71.3,0.00293031,128.956
1000,4.0,0.2286,71.3,0.00400603,131.708
4000,4.0,0.2286,55.5,0.0042862,120.654
4000,2.0,0.2286,71.3,0.00293031,124.086
800,2.0,0.2286,39.6,0.00346574,129.037
2500,4.0,0.2286,31.7,0.00509068,120.209
315,0.0,0.2286,55.5,0.00229336,119.54
1250,2.0,0.2286,71.3,0.00293031,128.816
4000,0.0,0.2286,39.6,0.00253511,123.465
5000,0.0,0.2286,71.3,0.00214345,124.304
800,0.0,0.2286,39.6,0.00253511,130.205
1600,0.0,0.2286,55.5,0.00229336,126.79
2000,0.0,0.2286,55.5,0.00229336,126.54
6300,2.0,0.2286,39.6,0.00346574,116.417
1600,4.0,0.2286,71.3,0.00400603,129.468
16000,0.0,0.2286,71.3,0.00214345,114.984
250,4.0,0.2286,31.7,0.00509068,120.189
2500,0.0,0.2286,71.3,0.00214345,128.354
1000,4.0,0.2286,55.5,0.0042862,132.134
10000,0.0,0.2286,71.3,0.00214345,118.134
315,2.0,0.2286,39.6,0.00346574,120.137
3150,2.0,0.2286,31.7,0.00372371,121.527
12500,4.0,0.2286,71.3,0.00400603,114.258
4000,0.0,0.2286,31.7,0.0027238,122.035
6300,4.0,0.2286,39.6,0.00473801,114.249
630,0.0,0.2286,31.7,0.0027238,129.465
1600,2.0,0.2286,71.3,0.00293031,127.796
2000,2.0,0.2286,55.5,0.00313525,124.612
1250,2.0,0.2286,39.6,0.00346574,128.257
2000,4.0,0.2286,71.3,0.00400603,126.218
630,2.0,0.2286,55.5,0.00313525,126.842
1250,4.0,0.2286,71.3,0.00400603,131.718
5000,0.0,0.2286,55.5,0.00229336,122.41
8000,4.0,0.2286,55.5,0.0042862,112.524
4000,4.0,0.2286,31.7,0.00509068,118.859
2000,4.0,0.2286,31.7,0.00509068,122.089
800,7.3,0.2286,39.6,0.0123481,126.299
1000,7.3,0.2286,71.3,0.0104404,126.838
5000,5.3,0.2286,39.6,0.00614329,115.311
5000,0.0,0.1524,71.3,0.0015988,126.457
630,0.0,0.1524,55.5,0.00172668,123.583
12500,2.7,0.1524,71.3,0.00243851,113.034
1250,0.0,0.1524,55.5,0.00172668,129.953
250,5.3,0.2286,39.6,0.00614329,127.011
1250,7.3,0.2286,71.3,0.0104404,127.358
500,7.3,0.2286,55.5,0.0111706,133.174
3150,0.0,0.1524,71.3,0.0015988,129.377
6300,0.0,0.1524,39.6,0.00193287,121.313
500,5.3,0.2286,39.6,0.00614329,132.251
630,2.7,0.1524,39.6,0.00294804,125.809
4000,0.0,0.1524,71.3,0.0015988,128.857
1250,2.7,0.1524,39.6,0.00294804,130.829
5000,2.7,0.1524,71.3,0.00243851,124.364
630,5.3,0.2286,39.6,0.00614329,132.011
3150,7.3,0.2286,55.5,0.0111706,117.134
400,7.3,0.2286,39.6,0.0123481,132.039
16000,0.0,0.1524,55.5,0.00172668,112.803
800,0.0,0.1524,31.7,0.00209405,129.117
3150,2.7,0.1524,39.6,0.00294804,122.919
800,2.7,0.1524,71.3,0.00243851,127.394
1000,7.3,0.2286,39.6,0.0123481,122.539
800,0.0,0.1524,39.6,0.00193287,127.903
1000,0.0,0.1524,31.7,0.00209405,130.987
500,5.4,0.1524,71.3,0.00401199,126.291
1600,7.3,0.2286,71.3,0.0104404,125.728
200,7.3,0.2286,39.6,0.0123481,130.989
2500,7.3,0.2286,31.7,0.0132672,114.709
16000,2.7,0.1524,71.3,0.00243851,110.364
3150,2.7,0.1524,71.3,0.00243851,127.054
5000,0.0,0.1524,55.5,0.00172668,125.203
1600,5.4,0.1524,71.3,0.00401199,133.241
6300,2.7,0.1524,39.6,0.00294804,119.209
1000,5.4,0.1524,71.3,0.00401199,133.201
800,5.4,0.1524,55.5,0.00433288,133.097
1600,7.3,0.2286,31.7,0.0132672,119.039
200,7.3,0.2286,71.3,0.0104404,138.758
8000,0.0,0.1524,71.3,0.0015988,122.527
5000,0.0,0.1524,31.7,0.00209405,122.397
315,7.3,0.2286,71.3,0.0104404,139.808
1250,2.7,0.1524,71.3,0.00243851,130.144
250,7.3,0.2286,39.6,0.0123481,131.889
630,7.3,0.2286,39.6,0.0123481,128.929
1000,0.0,0.1524,39.6,0.00193287,130.033
400,5.4,0.1524,71.3,0.00401199,124.121
10000,5.3,0.2286,71.3,0.0051942,111.35
6300,2.7,0.1524,71.3,0.00243851,121.944
2500,0.0,0.1524,55.5,0.00172668,127.763
1250,5.4,0.1524,71.3,0.00401199,134.111
4000,5.4,0.1524,71.3,0.00401199,121.431
2000,7.3,0.2286,31.7,0.0132672,115.309
500,0.0,0.1524,55.5,0.00172668,120.573
800,7.3,0.2286,71.3,0.0104404,130.748
400,7.3,0.2286,31.7,0.0132672,130.269
4000,0.0,0.1524,39.6,0.00193287,125.343
250,7.3,0.2286,71.3,0.0104404,139.918
400,7.3,0.2286,55.5,0.0111706,135.924
8000,0.0,0.1524,39.6,0.00193287,120.553
800,5.3,0.2286,39.6,0.00614329,129.491
400,7.3,0.2286,71.3,0.0104404,139.438
250,7.3,0.2286,31.7,0.0132672,130.089
6300,0.0,0.1524,31.7,0.00209405,119.737
3150,5.3,0.2286,39.6,0.00614329,118.441
200,7.3,0.2286,31.7,0.0132672,128.679
6300,7.3,0.2286,55.5,0.0111706,111.534
800,2.7,0.1524,39.6,0.00294804,128.829
16000,0.0,0.1524,71.3,0.0015988,113.297
800,7.3,0.2286,55.5,0.0111706,128.444
2000,7.3,0.2286,39.6,0.0123481,117.809
630,2.7,0.1524,71.3,0.00243851,127.404
12500,2.7,0.1524,39.6,0.00294804,108.649
1250,5.4,0.1524,55.5,0.00433288,130.777
6300,7.3,0.2286,39.6,0.0123481,110.839
500,7.3,0.2286,31.7,0.0132672,128.169
1600,2.7,0.1524,39.6,0.00294804,130.049
6300,5.4,0.1524,71.3,0.00401199,116.411
250,7.3,0.2286,55.5,0.0111706,136.384
500,0.0,0.1524,31.7,0.00209405,121.617
10000,0.0,0.1524,39.6,0.00193287,115.413
2000,2.7,0.1524,39.6,0.00294804,128.139
315,5.3,0.2286,39.6,0.00614329,129.691
800,5.4,0.1524,71.3,0.00401199,131.281
4000,7.3,0.2286,31.7,0.0132672,112.639
315,7.3,0.2286,55.5,0.0111706,136.284
1600,7.3,0.2286,39.6,0.0123481,121.059
5000,7.3,0.2286,39.6,0.0123481,111.959
6300,5.3,0.2286,39.6,0.00614329,112.541
2500,5.3,0.2286,39.6,0.00614329,116.151
8000,2.7,0.1524,71.3,0.00243851,120.534
200,7.3,0.2286,55.5,0.0111706,135.234
400,5.3,0.2286,39.6,0.00614329,131.221
315,7.3,0.2286,31.7,0.0132672,130.239
4000,2.7,0.1524,71.3,0.00243851,126.534
3150,7.3,0.2286,71.3,0.0104404,120.458
2500,2.7,0.1524,71.3,0.00243851,128.334
3150,5.4,0.1524,71.3,0.00401199,123.311
800,0.0,0.1524,55.5,0.00172668,126.713
2000,7.3,0.2286,71.3,0.0104404,122.708
400,5.4,0.1524,55.5,0.00433288,126.807
500,7.3,0.2286,39.6,0.0123481,130.299
1250,0.0,0.1524,39.6,0.00193287,131.023
500,2.7,0.1524,39.6,0.00294804,121.009
5000,5.4,0.1524,71.3,0.00401199,120.061
500,0.0,0.1524,39.6,0.00193287,119.513
1000,7.3,0.2286,55.5,0.0111706,125.194
4000,7.3,0.2286,55.5,0.0111706,117.284
2500,7.3,0.2286,39.6,0.0123481,116.559
2500,2.7,0.1524,39.6,0.00294804,125.589
2000,5.3,0.2286,39.6,0.00614329,117.911
800,7.3,0.2286,31.7,0.0132672,123.209
1600,5.3,0.2286,39.6,0.00614329,123.081
1600,7.3,0.2286,55.5,0.0111706,123.354
8000,2.7,0.1524,39.6,0.00294804,116.659
630,7.3,0.2286,71.3,0.0104404,133.768
2500,7.3,0.2286,55.5,0.0111706,118.994
2000,0.0,0.1524,39.6,0.00193287,129.633
12500,0.0,0.1524,55.5,0.00172668,117.093
1000,2.7,0.1524,71.3,0.00243851,128.774
1250,7.3,0.2286,31.7,0.0132672,120.509
2000,7.3,0.2286,55.5,0.0111706,120.354
315,7.3,0.2286,39.6,0.0123481,132.149
